614,183,107,745,558,171,412,682
278,313,337,252,261,209,201,515
485,521,712,538,800,373,494,801
242,132,151,421,727,32,444,505
394,501,716,631,189,45,150,695
389,222,647,719,458,343,326,121
595,344,207,253,466,34,118,479
500,348,31,689,249,147,333,212
391,398,473,564,71,339,597,763
355,401,186,269,122,445,329,258
51,630,119,228,232,487,103,561
757,784,699,735,49,697,750,645
276,336,516,827,754,112,816,3
99,435,520,615,461,442,736,771
181,247,502,598,729,420,702,559
6,709,9,365,379,710,780,667
810,160,142,65,739,236,789,821
275,675,292,111,829,539,455,828
493,698,708,786,511,89,231,798
825,522,819,491,14,305,172,287
419,498,79,583,527,734,545,751
250,282,397,822,125,215,448,284
226,569,588,542,452,787,706,310
824,90,145,756,762,33,260,778
272,161,427,770,417,713,47,608
167,97,230,651,390,586,627,174
622,446,42,544,239,563,585,211
760,194,184,677,330,229,459,227
550,203,755,541,704,765,571,37
197,726,187,87,321,23,320,531
483,580,352,668,381,254,621,790
674,220,680,664,301,831,235,377
44,283,22,392,176,116,155,532
152,423,426,173,77,453,341,637
26,554,676,206,346,68,628,806
718,351,724,106,349,761,725,15
353,370,279,266,731,204,214,434
666,162,470,104,354,507,234,50
618,303,43,21,36,764,769,663
624,826,395,251,433,646,408,730
546,596,124,679,746,785,809,497
58,139,28,438,25,154,362,549
590,792,462,19,604,732,766,195
657,437,386,82,240,129,467,658
312,307,759,510,342,218,644,782
364,465,127,720,213,113,120,450
137,134,131,114,387,52,556,636
443,291,210,300,428,613,573,198
325,519,327,439,815,803,655,665
17,380,691,143,382,456,499,652
568,449,707,802,153,744,603,62
472,169,529,324,753,600,794,208
200,733,335,248,833,375,385,548
314,102,46,159,610,523,243,429
606,146,711,490,457,358,656,476
605,297,681,84,808,518,332,694
406,308,10,649,138,714,334,331
40,424,779,238,80,188,101,148
262,687,92,509,670,170,70,567
799,164,781,422,281,411,356,409
748,75,369,820,557,263,363,575
294,383,686,223,589,775,53,128
553,642,30,399,296,323,277,345
306,447,404,163,405,555,199,579
309,255,469,807,357,514,318,414
393,747,56,158,123,767,547,136
774,601,619,64,415,623,96,743
290,795,5,267,513,464,246,316
582,94,196,640,570,643,180,39
480,737,57,625,431,35,185,503
69,72,270,692,259,693,12,156
441,115,384,440,616,66,257,350
241,347,402,524,24,133,219,805
703,98,144,696,705,179,533,105
416,413,410,110,60,202,660,551
340,728,768,584,653,581,302,175
61,797,599,830,721,832,572,108
481,388,574,562,400,304,525,690
41,317,311,55,205,273,593,678
591,396,100,224,777,489,804,577
788,432,576,662,633,683,486,130
360,587,289,669,407,648,534,73
4,484,717,117,8,13,818,504
286,612,478,372,288,371,741,451
635,811,495,178,506,673,157,671
723,11,298,758,149,274,722,814
293,650,233,217,48,468,126,526
492,436,328,629,18,823,244,265
752,83,701,182,508,16,641,672
166,482,141,191,109,535,88,592
772,245,530,85,740,322,543,91
319,165,268,661,78,817,63,688
256,742,403,632,517,86,812,338
367,488,611,565,193,29,59,594
285,140,796,578,738,793,425,749
684,67,168,620,566,237,271,280
776,463,378,475,76,607,54,366
474,639,190,7,418,512,540,264
602,216,715,299,626,315,374,27
638,192,537,135,813,700,95,295
183,107,745,558,171,412,682,74
313,337,252,261,209,201,515,783
521,712,538,800,373,494,801,2
132,151,421,727,32,444,505,225
501,716,631,189,45,150,695,81
222,647,719,458,343,326,121,359
344,207,253,466,34,118,479,552
348,31,689,249,147,333,212,376
398,473,564,71,339,597,763,430
