0.640,0.730,0.718,0.733,0.640,0.640,0.730,0.640,0.751,0.640
0.640,0.640,0.841,0.814,0.640,0.706,0.889,0.907,0.847,0.832
0.640,0.958,0.934,0.961,0.943,0.946,0.931,0.961,0.952,0.958
0.640,0.640,0.640,0.937,0.991,0.991,0.970,0.985,0.946,0.841
0.640,0.961,0.730,0.967,0.715,0.640,0.967,0.952,0.946,0.958
0.640,0.985,0.640,0.937,0.958,0.982,0.910,0.979,0.964,0.976
0.640,0.970,0.943,0.985,0.640,0.640,0.958,0.985,0.943,0.973
0.640,0.733,0.916,0.937,0.958,0.976,0.973,0.985,0.928,0.988
0.640,0.904,0.988,0.949,0.970,0.874,0.910,0.985,0.985,0.988
0.640,0.988,0.931,0.709,0.988,0.958,0.640,0.985,0.991,0.961
