715,716,719,720,714,688
716,719,720,714,688,675
719,720,714,688,675,698
720,714,688,675,698,684
714,688,675,698,684,691
688,675,698,684,691,697
675,698,684,691,697,709
698,684,691,697,709,715
684,691,697,709,715,713
691,697,709,715,713,712
697,709,715,713,712,725
709,715,713,712,725,734
715,713,712,725,734,734
713,712,725,734,734,751
712,725,734,734,751,755
725,734,734,751,755,727
734,734,751,755,727,763
734,751,755,727,763,762
751,755,727,763,762,765
755,727,763,762,765,779
727,763,762,765,779,796
763,762,765,779,796,800
762,765,779,796,800,798
765,779,796,800,798,782
779,796,800,798,782,794
796,800,798,782,794,794
800,798,782,794,794,812
798,782,794,794,812,804
782,794,794,812,804,810
794,794,812,804,810,820
794,812,804,810,820,828
812,804,810,820,828,828
804,810,820,828,828,832
810,820,828,828,832,830
820,828,828,832,830,831
828,828,832,830,831,831
828,832,830,831,831,846
832,830,831,831,846,863
830,831,831,846,863,863
831,831,846,863,863,865
831,846,863,863,865,870
846,863,863,865,870,867
863,863,865,870,867,878
863,865,870,867,878,903
865,870,867,878,903,914
870,867,878,903,914,892
867,878,903,914,892,892
878,903,914,892,892,924
903,914,892,892,924,918
914,892,892,924,918,940
892,892,924,918,940,943
892,924,918,940,943,938
924,918,940,943,938,930
918,940,943,938,930,945
940,943,938,930,945,955
943,938,930,945,955,966
938,930,945,955,966,963
930,945,955,966,963,952
945,955,966,963,952,918
955,966,963,952,918,924
966,963,952,918,924,932
963,952,918,924,932,932
952,918,924,932,932,914
918,924,932,932,914,917
924,932,932,914,917,921
932,932,914,917,921,922
932,914,917,921,922,945
914,917,921,922,945,971
917,921,922,945,971,986
921,922,945,971,986,990
922,945,971,986,990,994
945,971,986,990,994,997
971,986,990,994,997,999
